assetid,teamcolor1g,teamcolor1r,clubworth,teamcolor2b,goalnetstanchioncolor2g,teamcolor2r,foundationyear,goalnetstanchioncolor2r,teamcolor3r,goalnetstanchioncolor1b,teamcolor1b,opponentweakthreshold,latitude,teamcolor3g,opponentstrongthreshold,goalnetstanchioncolor2b,goalnetstanchioncolor1r,teamcolor2g,goalnetstanchioncolor1g,teamname,teamcolor3b,presassetone,powid,hassubstitutionboard,rightfreekicktakerid,flamethrowercannon,domesticprestige,genericint2,defensivedepth,hasvikingclap,jerseytype,pitchcolor,pitchwear,popularity,hastifo,presassettwo,teamstadiumcapacity,stadiumgoalnetstyle,iscompetitionscarfenabled,cityid,rivalteam,playsurfacetype,isbannerenabled,midfieldrating,stadiummowpattern_code,matchdayoverallrating,matchdaymidfieldrating,attackrating,longitude,buildupplay,matchdaydefenserating,hasstandingcrowd,favoriteteamsheetid,defenserating,iscompetitionpoleflagenabled,skinnyflags,uefa_consecutive_wins,longkicktakerid,trait1vweak,iscompetitioncrowdcardsenabled,rightcornerkicktakerid,gender,cksupport1,uefa_cl_wins,hassuncanthem,domesticcups,ethnicity,leftcornerkicktakerid,youthdevelopment,teamid,uefa_el_wins,trait1vequal,numtransfersin,stanchionflamethrower,stadiumgoalnetpattern,captainid,personalityid,prev_el_champ,leftfreekicktakerid,cksupport2,leaguetitles,genericbanner,crowdregion,uefa_uecl_wins,overallrating,ballid,profitability,utcoffset,penaltytakerid,pitchlinecolor,freekicktakerid,crowdskintonecode,internationalprestige,cksupport3,haslargeflag,trainingstadium,form,genericint1,trait1vstrong,matchdayattackrating
101047,255,255,100000,150,125,0,1927,125,255,125,255,2,50,255,2,125,125,60,125,Dynamo Kyiv,255,0,-1,0,194794,0,10,-1,50,0,2,4,0,6,0,0,70050,0,1,698,101059,0,1,74,3,72,74,72,30,1,72,0,-1,72,1,0,0,277439,262800,0,244373,0,0,0,0,13,2,244373,10,101047,0,4227728,0,0,0,244373,0,0,194794,0,16,0,5,0,72,159,8,2,244373,0,194794,2,5,0,0,316,0,-1,525456,72
101059,80,240,160000,1,1,1,1936,1,255,1,0,2,48,90,2,1,1,1,1,Shakhtar Donetsk,44,0,-1,0,259913,0,10,-1,50,0,1,4,0,7,0,0,52667,33,1,140,101047,0,1,74,1,72,74,70,37,2,73,0,-1,73,1,0,0,259913,263298,0,259913,0,0,0,0,14,2,259913,7,101059,1,4251778,0,0,0,229528,0,0,259913,0,15,0,5,0,72,152,8,2,259913,0,259913,2,6,0,0,316,0,-1,528514,70
101083,22,252,90500,255,255,255,1905,255,252,255,28,2,-34,22,2,255,255,255,255,Estudiantes,28,0,-1,0,143121,0,9,-1,50,0,2,4,0,6,0,1,30018,4,0,259,101084,0,1,74,1,73,74,74,-57,3,71,1,-1,71,1,1,0,248053,270341,2,143121,0,0,4,0,1,4,143121,7,101083,0,4214789,0,0,0,232244,0,0,143121,0,6,0,1,0,73,129,8,-3,215334,0,143121,7,7,0,0,316,0,-1,526341,74
101084,255,255,10000,98,255,18,1887,255,255,255,255,1,-34,255,1,255,255,21,255,Gimnasia,255,0,-1,0,233777,0,2,-1,50,0,2,4,0,4,0,1,21500,0,0,259,101083,0,1,68,1,70,68,70,-57,1,71,1,-1,71,1,1,0,235004,262912,2,273905,0,0,0,0,0,4,233777,7,101084,0,4195072,0,0,1,240640,0,0,266171,0,1,0,1,0,70,129,4,-3,205633,0,233777,7,1,0,0,316,0,-1,525568,70
101085,200,55,95000,255,255,255,1903,255,1,255,255,2,-34,1,2,255,255,255,255,Racing Club,1,0,-1,0,255878,0,9,-1,50,0,1,3,0,7,0,1,42500,0,0,30,110093,0,1,73,1,74,73,73,-58,2,73,1,-1,73,1,1,0,255878,263176,2,255878,0,0,1,0,0,4,255878,8,101085,0,4235272,0,0,0,223249,1,0,255878,0,18,0,1,0,74,129,6,-3,244205,0,255878,7,8,0,0,316,0,-1,528392,73
101088,63,31,70000,255,255,255,1910,255,31,255,116,2,-34,63,2,255,255,255,255,Vélez Sarsfield,116,0,-1,0,227528,0,8,-1,50,0,2,4,0,5,0,1,49540,5,0,82,1013,0,1,70,3,72,70,73,-58,1,71,1,-1,71,1,1,0,232255,262800,2,232255,0,0,1,0,0,3,232255,9,101088,0,4227728,0,0,0,232255,1,0,227528,0,10,0,1,0,72,129,8,-3,227528,0,227528,7,6,0,0,316,0,-1,525456,73
101099,26,210,28500,255,112,255,1927,30,210,30,30,1,3,26,1,30,30,255,112,América de Cali,30,0,-1,0,210513,0,7,-1,65,0,2,4,0,7,0,1,36000,0,0,91,101100,0,1,71,3,70,71,70,-76,2,69,1,-1,69,1,1,0,210513,132168,1,210513,0,0,0,0,0,2,210513,4,101099,0,155720,0,0,0,230975,0,0,210513,0,15,0,1,0,70,184,4,-5,210513,0,210513,7,5,0,0,316,0,-1,266312,70
101100,127,13,47500,250,112,250,1947,30,13,30,64,1,6,127,1,30,30,250,112,Atl. Nacional,64,0,-1,0,192342,4,10,-1,50,0,1,4,0,7,0,1,44739,0,0,310,1318,0,1,71,3,71,71,72,-75,1,71,1,-1,71,1,1,0,192342,262660,2,192342,0,0,2,0,6,3,192342,6,101100,0,4211204,0,0,0,242484,0,0,192342,0,17,0,1,0,71,141,4,-5,192342,0,192342,7,5,0,0,316,0,-1,525316,72
101106,255,255,9000,1,255,1,1961,255,255,255,255,1,5,255,1,255,255,1,255,Once Caldas,255,0,-1,0,221306,4,7,-1,50,0,1,4,0,3,0,0,36553,0,2,302,1318,0,1,67,3,68,67,69,-75,2,67,0,-1,67,1,1,0,221306,263320,0,221306,0,0,1,0,0,2,221306,6,101106,0,4251800,0,0,0,187075,1,0,221306,0,4,0,0,0,68,6,4,-5,187075,0,221306,7,5,0,0,316,0,-1,528536,69
101108,255,255,52500,42,249,36,1902,248,201,249,255,1,-25,57,1,249,248,40,249,Olimpia,119,0,-1,0,209523,0,10,-1,65,0,2,4,0,7,0,0,22000,0,0,771,112716,0,1,67,0,70,67,71,-57,1,70,1,-1,70,0,1,0,262566,131584,1,209523,0,0,3,0,1,5,262566,5,101108,0,147968,0,0,1,216385,1,0,262566,0,46,0,1,0,70,184,5,-4,209523,0,262566,7,7,0,0,316,0,-1,263168,71
101110,30,30,43200,1,249,253,1891,248,30,249,30,1,-34,30,1,249,248,202,249,Peñarol,30,0,-1,0,252935,0,9,-1,50,0,2,4,0,7,0,1,40700,18,1,795,111325,0,1,71,3,71,71,72,-56,1,71,1,-1,71,1,1,0,252935,262672,1,252935,0,0,5,0,0,4,252935,8,101110,0,4243984,0,0,0,236382,0,0,252935,0,52,0,1,0,71,184,4,-3,267406,0,252935,7,5,0,0,316,0,-1,525328,72
101112,255,255,173500,88,1,0,1974,1,150,1,255,1,49,200,1,1,1,34,1,Whitecaps FC,255,0,-1,0,255205,4,4,-1,90,0,1,6,0,4,1,0,22120,5,1,508,111144,2,1,69,15,69,69,72,-123,1,68,0,-1,67,1,0,0,255205,66116,0,208919,0,0,0,0,0,2,255205,5,101112,0,115268,0,0,0,255827,0,0,208919,0,0,0,6,0,69,189,3,-8,208919,0,208919,2,2,0,0,316,0,-1,132164,72
105035,87,248,0,255,66,255,1889,35,244,66,23,3,52,124,3,66,35,255,66,Netherlands,34,0,-1,0,202556,4,10,-1,50,0,2,4,0,0,0,0,55885,0,1,0,1337,0,1,83,1,83,83,83,4,1,82,0,-1,82,1,0,0,202556,262784,0,202556,0,0,0,0,0,1,202556,0,105035,0,4227712,0,0,0,203376,0,0,202556,0,0,0,4,0,83,141,0,1,202556,0,202556,2,8,0,0,366,0,-1,525440,83
110062,0,201,8000,255,0,255,1930,180,180,0,0,2,41,0,2,0,180,255,0,Girona FC,0,0,-1,0,190815,0,1,-1,65,0,2,4,0,3,0,0,14642,0,2,185,452,0,1,78,1,77,78,75,2,1,78,2,-1,79,2,0,0,261865,131712,1,190815,0,0,0,0,0,4,244369,3,110062,0,131712,0,0,0,201505,0,0,244369,0,0,0,4,0,78,125,2,1,239250,0,244369,2,1,0,0,366,0,-1,263296,75
110069,0,200,2500,1,110,1,1927,110,12,110,0,1,42,8,1,110,110,1,110,CD Mirandés,8,0,-1,0,260923,0,3,-1,30,1,2,4,0,3,0,0,6900,0,2,318,463,0,1,68,1,69,69,70,-2,2,68,0,-1,68,0,0,0,260923,4195584,0,260923,0,0,0,0,0,4,260923,2,110069,0,532736,0,0,0,275985,0,0,260923,0,0,0,4,0,68,126,5,1,273748,0,260923,2,1,0,0,316,0,-1,528640,71
110072,255,255,3900,50,255,227,1964,255,0,255,255,1,45,83,1,255,255,23,255,SC Oțelul Galați,156,0,-1,0,229608,0,3,-1,50,0,2,4,1,3,0,0,13500,0,1,933,310,0,1,64,0,64,64,63,28,2,64,1,-1,64,1,0,0,229608,263296,0,229608,0,0,0,0,0,1,229608,3,110072,0,4202624,0,0,0,229608,1,0,229608,0,1,0,5,0,64,24,5,2,229608,0,229608,2,1,0,0,316,0,-1,528512,63
110075,90,30,7200,30,50,30,1920,40,250,130,180,1,44,250,1,130,40,30,50,Farul Constanța,250,0,-1,0,197971,0,8,-1,50,0,2,4,0,3,0,0,4554,0,1,871,113378,0,1,64,1,64,64,65,28,2,65,1,-1,65,1,0,0,197971,263552,0,239116,0,0,0,0,1,3,267993,10,110075,0,4235648,0,0,1,197971,1,0,265431,0,2,0,5,0,64,24,6,2,197971,0,197971,2,3,0,0,316,0,-1,528768,65
110078,215,230,4200,204,30,30,1924,30,30,30,50,1,44,30,1,30,30,30,30,FC Petrolul,30,0,-1,0,274397,0,5,-1,50,0,1,4,0,3,0,0,15073,0,1,904,310,0,1,65,1,64,65,61,26,1,65,1,-1,65,1,0,0,70958,262720,0,274397,0,0,0,0,3,2,70958,4,110078,0,4211264,0,0,0,220177,0,0,220177,0,4,0,5,0,64,24,7,2,220177,0,220177,2,1,0,0,316,0,-1,525376,61
110081,132,37,0,255,110,255,1880,20,24,70,50,1,54,150,1,70,20,255,110,Northern Ireland,55,0,-1,0,268630,0,10,-1,30,0,2,4,0,0,0,0,18000,0,0,0,1355,0,1,70,1,70,70,67,-5,3,71,0,-1,71,0,0,0,268630,4202824,0,231292,0,0,0,0,0,1,264298,0,110081,0,545096,0,0,0,264298,0,0,268630,0,0,0,3,0,70,110,0,0,220039,0,268630,2,2,0,0,316,0,-1,526664,67
110093,1,206,145000,26,255,206,1904,255,255,255,26,1,-34,255,1,255,255,1,255,Independiente,255,0,-1,0,222373,0,8,-1,50,0,1,5,0,7,0,1,42069,0,0,30,101085,0,1,71,1,71,71,69,-58,1,70,1,-1,70,1,1,0,222373,262932,2,73252,0,0,7,0,0,2,70440,6,110093,2,4244244,0,0,0,215069,0,0,70440,0,16,0,1,0,71,129,10,-3,226286,0,70440,7,8,0,0,316,0,-1,525588,69
110176,1,1,6900,255,255,255,1970,255,1,255,1,1,48,1,1,255,255,255,255,SSV Ulm 1846,1,0,-1,0,244024,0,1,-1,30,0,2,3,2,2,0,0,19500,0,1,931,36,0,1,66,3,66,66,64,10,2,67,1,-1,67,1,0,0,276365,4195392,0,244024,0,0,0,0,0,2,244024,3,110176,0,532544,0,0,0,231555,0,0,244024,0,0,0,4,0,66,115,8,1,231555,0,244024,2,1,0,0,316,0,-1,528448,64
110178,1,1,10101,255,255,255,1916,255,58,1,1,1,49,127,1,255,1,255,1,SV Sandhausen,138,0,-1,0,212238,4,9,-1,30,0,2,4,0,1,0,0,15414,0,1,426,1832,0,1,65,3,65,65,65,8,1,65,1,-1,65,1,0,0,212238,4194888,1,212238,0,0,0,0,0,1,212238,1,110178,0,524872,0,0,1,262534,0,0,212238,0,0,0,4,0,65,123,6,1,212238,0,212238,2,1,0,0,316,0,-1,525384,65
110206,128,0,2900,0,30,255,1964,30,30,30,0,1,50,30,1,30,30,255,30,GKS Katowice,30,0,-1,0,235471,0,2,-1,65,0,2,4,0,2,0,0,6710,0,1,958,420,0,1,64,1,64,64,64,19,2,64,1,-1,65,1,0,0,235471,132160,0,235471,0,0,0,0,3,3,235471,7,110206,0,155712,0,0,0,244160,0,0,235471,0,0,0,5,0,64,127,5,1,244160,0,235471,2,1,0,0,316,0,-1,266304,64
110242,120,36,2000,255,250,255,1919,250,1,245,60,1,43,1,1,250,245,255,245,Racing de Ferrol,1,0,-1,0,227990,0,1,-1,50,0,2,4,0,1,0,0,12043,0,2,926,450,0,1,66,1,66,65,67,-8,2,66,0,-1,66,0,0,0,227990,263232,0,227990,0,0,0,0,0,2,227990,7,110242,0,4218944,0,0,0,275494,0,0,227990,0,0,0,4,0,66,126,5,1,189661,0,227990,2,1,0,0,316,0,-1,528448,67
110313,18,199,2500,255,1,255,1968,1,240,1,36,1,53,18,1,1,1,255,1,Accrington,36,0,-1,0,167512,0,4,-1,50,0,2,4,0,1,0,0,5057,1,0,4,357,0,2,61,1,60,61,56,-2,2,59,0,-1,59,1,0,0,167512,263240,0,167512,0,0,0,0,0,2,167512,7,110313,0,4218952,0,0,0,167512,0,0,167512,0,0,0,3,0,60,135,9,0,167512,0,167512,2,1,0,0,316,0,-1,528456,56
110321,217,246,17000,179,1,1,1995,1,247,1,87,1,43,217,1,1,1,113,1,Pau FC,97,0,-1,0,73085,0,3,-1,50,0,2,4,0,1,0,0,4031,38,0,816,1809,0,1,65,3,66,65,67,0,3,65,1,-1,65,0,0,0,73085,270592,0,73085,0,0,0,0,0,2,73085,2,110321,0,4247808,0,0,0,224442,0,0,73085,0,0,0,4,0,66,103,8,1,210439,0,73085,2,1,0,0,316,0,-1,526592,67
110329,71,96,55100,255,71,255,1910,96,226,52,52,2,53,1,2,52,96,255,71,FC St. Pauli,26,0,-1,1,222369,0,2,-1,30,0,1,4,0,6,0,0,29546,0,1,205,28,0,1,72,1,72,72,71,9,3,72,1,-1,72,1,0,0,222369,4202496,1,222369,0,0,0,0,0,3,222369,4,110329,0,544768,0,0,0,211378,0,0,222369,0,0,0,4,0,72,113,8,1,258626,0,222369,2,2,0,0,316,0,-1,526336,71
110373,30,132,70000,250,76,250,1919,30,210,190,30,1,40,170,1,190,30,250,76,Salernitana,46,0,-1,0,225844,0,3,-1,50,0,2,4,0,5,0,0,31300,8,1,416,112124,0,1,67,3,69,67,67,14,1,67,1,-1,67,1,0,0,225844,262656,1,225844,0,0,0,0,0,2,225844,4,110373,0,4243968,0,0,0,224808,1,0,225844,0,0,0,4,0,69,169,4,1,213829,0,225844,2,1,0,0,316,0,-1,525312,67
110374,8,57,240000,250,8,250,1926,57,217,142,142,2,43,43,2,142,57,250,8,Fiorentina,38,0,-1,0,211361,0,6,-1,50,0,2,4,0,6,0,0,43147,39,1,162,45,0,1,77,1,78,77,79,11,2,76,1,-1,75,1,0,0,211361,263432,1,211361,0,0,0,0,6,4,211361,8,110374,0,4219144,0,0,0,240777,0,0,211361,0,2,0,4,0,77,136,5,1,236610,0,211361,2,5,0,0,366,0,-1,528648,79
110395,40,117,45000,52,255,117,1915,255,255,255,52,1,-34,255,1,255,255,40,255,Lanús,255,0,-1,0,235467,0,5,-1,50,0,2,4,0,4,0,1,47027,0,0,262,110404,0,1,72,1,72,72,72,-58,1,70,1,-1,70,1,1,0,235467,262664,2,235467,0,0,0,0,0,3,235467,8,110395,1,4227592,0,0,0,214766,0,0,235467,0,2,0,1,0,72,129,4,-3,235467,0,235467,7,5,0,0,316,0,-1,525320,72
110396,1,1,24000,21,255,225,1903,255,2,255,1,1,-32,2,1,255,255,11,255,Newell's,2,0,-1,0,178562,0,7,-1,50,0,1,4,0,7,0,1,42000,0,0,409,110580,0,1,69,3,71,69,72,-60,3,69,1,-1,69,1,1,0,178562,270360,2,178562,0,0,0,0,0,2,178562,8,110396,0,4231192,0,0,0,178562,1,0,178562,0,6,0,1,0,71,129,7,-3,227394,0,178562,7,4,0,0,316,0,-1,526360,72
110404,153,1,15300,255,255,255,1896,255,210,255,51,1,-34,97,1,255,255,255,255,Banfield,13,0,-1,0,278052,0,5,-1,50,0,1,4,0,3,0,1,34901,0,0,35,110395,0,1,66,3,67,66,68,-58,2,65,1,-1,65,1,1,0,273709,263496,2,266161,0,0,0,0,0,4,266161,6,110404,0,4219208,0,0,0,233780,0,0,266161,0,1,0,1,0,67,129,7,-3,69963,0,266161,7,2,0,0,316,0,-1,528712,68
110468,30,223,40000,168,120,59,1911,120,223,120,35,2,49,30,2,120,120,94,120,Viktoria Plzeň,35,0,-1,0,251221,0,9,-1,30,0,2,4,0,4,0,0,11700,0,1,699,266,0,1,73,1,73,73,72,13,2,72,1,-1,72,1,0,0,251221,4195392,0,251221,0,0,0,0,1,1,251221,4,110468,0,548928,0,0,1,251221,0,0,251221,0,6,0,5,0,73,141,6,1,247050,0,251221,2,3,0,0,316,0,-1,528448,72
110500,98,1,10472,1,93,255,1895,40,225,30,173,1,52,1,1,177,240,204,220,Braunschweig,15,0,-1,0,269471,4,2,-1,30,0,2,4,2,4,0,0,23325,38,1,68,485,0,1,67,1,67,67,68,10,3,67,1,-1,67,1,0,0,269471,4202502,1,251961,0,0,0,0,0,2,269471,6,110500,0,528390,0,0,0,201860,1,0,269471,0,1,0,4,0,67,115,6,1,251961,0,269471,2,1,0,0,316,0,-1,526342,68
110501,254,254,2450,1,255,1,1924,255,240,185,254,1,51,240,1,255,185,1,185,SC Verl,240,0,-1,0,240329,0,3,-1,65,0,2,4,0,1,0,0,15000,0,1,820,487,0,1,65,1,64,65,63,8,1,63,1,-1,63,1,0,0,235253,131712,0,240329,0,0,0,0,0,2,240329,5,110501,0,131712,0,0,0,258547,0,0,240329,0,0,0,4,0,64,123,8,1,240329,0,240329,2,1,0,0,316,0,-1,263296,63
110502,78,1,37980,255,180,255,1898,180,1,255,158,1,49,32,1,180,50,255,50,SV Darmstadt 98,91,0,-1,0,245287,0,7,-1,50,0,1,3,0,4,0,0,17810,3,1,132,1824,0,1,70,3,70,70,70,8,1,68,1,-1,68,1,0,0,262604,262656,1,245287,0,0,0,0,0,2,262604,2,110502,0,4211200,0,0,0,263575,1,0,242965,0,0,0,4,0,70,115,6,1,242965,0,242965,2,1,0,0,316,0,-1,525312,70
110532,66,1,3780,1,180,1,1907,180,255,10,146,1,49,255,1,180,10,1,10,SV Waldhof,255,0,-1,0,229354,0,5,-1,50,0,2,4,3,3,0,0,25721,26,1,735,29,0,1,64,0,64,64,67,8,2,64,1,-1,64,1,0,0,229354,263248,1,229354,0,0,0,0,0,2,229354,5,110532,0,4218960,0,0,0,239181,0,0,229354,0,0,0,4,0,64,123,7,1,229354,0,229354,2,1,0,0,316,0,-1,528464,67
110556,2,197,150000,78,79,20,1893,39,250,101,7,2,44,250,2,101,39,33,79,Genoa,250,0,-1,0,236295,0,5,-1,30,0,2,4,0,5,0,0,36599,0,1,180,1837,0,1,71,1,74,72,75,8,2,74,1,-1,73,1,0,0,236295,4195333,1,236295,0,0,0,0,1,9,236295,6,110556,0,565253,0,0,0,201144,0,0,236295,0,9,0,4,0,73,136,5,1,235842,0,236295,2,3,0,0,316,0,-1,528389,76
110580,41,2,30000,1,255,249,1889,255,2,255,118,1,-32,41,1,255,255,200,255,Rosario Central ,118,0,-1,0,226797,0,7,-1,50,0,2,4,0,6,0,1,39657,27,0,409,110396,0,1,70,0,71,70,72,-60,1,71,1,-1,71,1,1,0,246335,262792,2,226797,0,0,0,0,1,3,226797,8,110580,0,4244104,0,0,0,216033,0,0,226797,0,4,0,1,0,71,129,6,-3,226797,0,226797,7,4,0,0,316,0,-1,525448,72
110588,105,1,10115,116,210,1,1965,210,255,210,176,1,52,255,1,210,210,60,210,1. FC Magdeburg,255,0,-1,0,233520,0,3,-1,30,0,2,4,2,5,0,0,22000,0,1,612,503,0,1,68,1,69,68,70,11,1,69,1,-1,69,1,0,0,233520,4194832,1,233520,0,0,0,0,0,2,233520,4,110588,0,557584,0,0,0,228607,0,0,233520,0,0,0,4,0,69,115,6,1,269264,0,233520,2,1,0,0,316,0,-1,525328,70
110636,6,227,59300,255,1,255,1895,1,210,1,19,1,51,22,1,1,1,255,1,Düsseldorf,35,0,-1,0,246814,0,8,-1,50,0,2,4,0,4,0,0,54600,1,1,147,31,0,1,70,1,70,70,70,6,2,70,1,-1,70,1,0,0,246814,263236,3,246814,0,0,0,0,2,8,246814,3,110636,0,4218948,0,0,0,251292,1,0,246814,0,1,0,4,0,70,115,4,1,246814,0,246814,2,1,0,0,316,0,-1,528452,70
110645,40,255,4400,1,180,1,2010,180,255,180,50,1,50,255,1,180,180,1,180,Viktoria Köln,255,0,-1,0,276320,0,6,-1,30,0,2,4,3,2,0,0,10001,0,1,249,31,0,1,63,3,64,63,65,7,2,64,1,-1,64,1,0,0,276320,4195328,1,276320,0,0,0,0,0,3,276320,3,110645,0,565248,0,0,0,238963,0,0,276320,0,0,0,4,0,64,123,3,1,261653,0,276320,2,1,0,0,316,0,-1,528384,65
110676,230,255,5509,1,230,1,1909,230,245,230,1,1,51,255,1,230,230,1,230,B. Dortmund II,1,0,-1,0,263065,0,2,-1,50,0,2,4,0,1,0,0,9999,0,1,141,159,0,1,65,3,63,65,64,7,2,63,1,-1,63,1,0,0,269996,263168,0,269996,0,0,0,0,0,2,269996,10,110676,0,4235264,0,0,0,224597,0,0,263065,0,0,0,4,0,63,123,4,1,224597,0,263065,2,1,0,0,316,0,-1,528384,64
110683,255,255,1637,1,255,1,1896,255,1,255,255,1,52,157,1,255,255,1,255,Hannover 96 II,58,0,-1,0,263970,0,1,-1,50,0,2,4,0,1,0,0,2500,0,1,208,110500,0,1,60,3,61,60,60,9,2,61,1,-1,61,1,0,0,263970,263168,0,263970,0,0,0,0,0,3,263970,10,110683,0,4218880,0,0,0,233969,1,0,263970,0,0,0,4,0,61,123,10,1,220881,0,263970,2,1,0,0,316,0,-1,528384,60
110697,255,255,1800,41,255,211,1893,255,1,255,255,1,48,1,1,255,255,1,255,VfB Stuttgart II,1,0,-1,0,279623,4,1,-1,30,0,2,4,0,1,0,0,10000,0,1,466,110176,0,1,61,3,61,61,64,9,1,61,1,-1,61,1,0,0,279623,4194816,0,279623,0,0,0,0,0,3,279623,10,110697,0,541184,0,0,0,234416,0,0,279623,0,0,0,4,0,61,123,7,1,279623,0,279623,2,1,0,0,316,0,-1,525312,64
110720,51,51,6500,255,160,255,1938,160,0,160,255,1,48,0,1,160,160,255,160,Blau-Weiss Linz,0,0,-1,0,275634,0,2,-1,50,0,2,4,0,1,0,0,5595,0,1,639,252,0,1,64,0,65,64,66,14,2,64,1,-1,64,1,0,0,224271,263232,0,224271,0,0,0,0,0,3,224271,4,110720,0,4218944,0,0,0,233435,0,0,275634,0,0,0,8,0,65,124,10,1,226958,0,275634,2,1,0,0,316,0,-1,528448,66
110724,232,255,30000,0,204,235,1904,202,1,206,0,1,51,1,1,206,202,13,204,KV Mechelen,1,0,-1,0,224252,0,5,-1,30,0,1,4,0,4,0,1,16672,0,1,309,100087,0,1,70,1,69,70,70,4,1,68,1,-1,68,1,0,0,224252,4194946,1,224252,0,0,0,0,2,1,224252,5,110724,0,541314,0,0,1,205369,1,0,224252,0,4,0,8,0,69,122,6,1,224252,0,224252,2,4,0,0,316,0,-1,525442,70
110738,30,30,25000,142,250,1,1909,250,250,250,30,1,43,250,1,250,250,69,250,Pisa,250,0,-1,0,270658,0,7,-1,50,0,2,4,0,3,0,0,9950,0,1,570,110374,0,1,69,3,69,69,69,10,2,68,0,-1,68,1,0,0,270658,263296,2,240797,0,0,0,0,0,4,270658,5,110738,0,4219008,0,0,0,199174,0,0,270658,0,0,0,4,0,69,169,4,1,240797,0,270658,2,1,0,0,316,0,-1,528512,69
110740,2,122,19000,35,30,225,1919,30,250,30,1,1,44,250,1,30,30,168,30,Reggiana,250,0,-1,0,254804,0,2,-1,30,0,2,4,0,2,0,0,21525,0,1,935,50,0,1,65,3,67,65,66,10,2,65,1,-1,65,1,0,0,254804,4195392,0,254804,0,0,0,0,0,2,254804,1,110740,0,532544,0,0,0,208942,0,0,254804,0,0,0,4,0,67,169,9,1,230940,0,254804,2,1,0,0,316,0,-1,528448,66
110745,9,240,12000,30,120,251,1920,120,224,120,3,1,53,39,1,120,120,222,120,Jagiellonia,45,0,-1,0,201268,0,7,-1,50,0,1,4,0,3,0,0,22372,0,1,50,1871,0,1,68,1,68,68,70,23,2,69,1,-1,69,1,0,0,223307,263170,1,242629,0,0,0,0,1,2,201268,6,110745,0,4218882,0,0,1,224336,0,0,223307,0,1,0,5,0,68,127,6,1,239267,0,223307,2,3,0,0,316,0,-1,528386,70
110746,0,0,11900,0,30,128,1948,30,1,30,116,1,53,1,1,120,128,0,30,Pogoń Szczecin,1,0,-1,0,177922,0,4,-1,50,0,2,4,0,4,0,0,20500,9,1,473,110747,0,1,66,1,66,65,72,14,1,65,1,-1,66,0,0,0,177922,262800,0,177922,0,0,0,0,0,2,177922,8,110746,0,4194960,0,0,1,177922,0,0,177922,0,0,0,5,0,66,127,7,1,222544,0,177922,2,3,0,0,316,0,-1,525456,72
110747,31,236,9500,255,255,255,1906,255,220,36,36,1,50,20,1,255,236,255,31,Cracovia,60,0,-1,0,225133,0,6,-1,50,0,2,4,0,3,0,0,15016,4,1,252,110746,0,1,66,1,66,67,67,19,2,67,1,-1,66,1,0,0,254333,263238,0,254333,0,0,0,0,1,2,225133,5,110747,0,4218950,0,0,0,235005,1,0,225133,0,5,0,5,0,66,127,7,1,245582,0,225133,2,2,0,0,316,0,-1,528454,67
110749,82,253,10700,255,120,255,1945,120,1,60,0,1,51,1,1,120,60,255,60,Zagłębie Lubin,1,0,-1,0,198046,0,4,-1,50,0,2,4,0,3,0,0,16086,0,1,288,111092,0,1,65,3,64,66,66,16,2,62,1,-1,64,0,0,0,198046,263248,0,198046,0,0,0,0,0,2,198046,8,110749,0,4235344,0,0,1,198046,1,0,198046,0,2,0,5,0,65,127,3,1,198046,0,198046,2,2,0,0,316,0,-1,528464,65
110750,255,255,4950,1,255,255,1945,255,30,255,255,1,46,30,1,255,255,1,255,UTA Arad,30,0,-1,0,242093,0,5,-1,50,0,2,4,0,3,0,0,12000,0,1,829,113378,0,1,64,3,64,64,64,21,2,63,1,-1,63,1,0,0,258373,263186,0,258373,0,0,0,0,2,4,242093,5,110750,0,4235282,0,0,0,236279,0,0,242093,0,6,0,5,0,64,24,7,2,244143,0,242093,2,1,0,0,316,0,-1,528402,64
110751,30,30,4300,255,255,255,1919,255,220,255,30,1,46,65,1,255,255,255,255,FC Univ. Cluj,65,0,-1,0,212226,0,4,-1,50,0,2,4,0,4,0,0,30201,0,1,701,114385,0,1,67,1,66,67,65,23,1,67,1,-1,67,1,0,0,212226,262656,0,212226,0,0,0,0,1,2,212226,3,110751,0,4211200,0,0,0,212048,0,0,212226,0,0,0,5,0,66,24,5,2,212226,0,212226,2,1,0,0,316,0,-1,525312,65
110752,62,46,4000,255,220,255,2001,220,247,220,150,1,47,77,1,220,220,255,220,FC Botoșani,80,0,-1,0,251770,0,5,-1,50,0,2,4,0,3,0,0,7782,0,1,737,308,0,1,64,1,64,64,63,26,2,64,0,-1,64,1,0,0,251770,263424,0,251770,0,0,0,0,0,2,258364,5,110752,0,4235520,0,0,0,248002,1,0,258364,0,0,0,5,0,64,24,6,2,73404,0,251770,2,3,0,0,316,0,-1,528640,63
110765,1,1,10900,1,255,1,2003,255,255,255,255,1,37,255,1,255,1,1,1,Incheon United,255,0,-1,0,208636,0,4,-1,30,0,2,4,0,5,0,0,20300,0,1,225,982,0,1,66,1,65,66,69,126,2,59,1,-1,59,1,0,0,77286,4195392,1,221859,0,0,0,0,0,3,221859,7,110765,0,565312,0,0,0,208636,0,0,208636,0,0,0,2,0,65,38,7,9,223994,0,208636,4,2,0,0,316,0,-1,528448,69
